"","subj","roi","PC1","PC2","beh_sim","cluster","category","diff","network"
"l_s1101.10","l_s1101","Right_IFG",-0.0477574956623138,0.0292466969253823,0.00123584132450073,-0.0445570576702372,0.0225764078563165,-0.0671334655265537,"Prefrontal"
"l_s1102.10","l_s1102","Right_IFG",0.0100621293104319,-0.017423899581797,-0.0519728591905361,0.00648713796426108,-0.0169414428574418,0.0234285808217029,"Prefrontal"
"l_s1104.10","l_s1104","Right_IFG",-0.0626645682782598,0.0831569376516825,0.0294591148139445,0.0631066657077281,0.0279631891957997,0.0351434765119284,"Prefrontal"
"l_s301.10","l_s301","Right_IFG",-0.0609187695232036,0.0341438355885462,0.008447623938502,-0.0546168155648107,0.0074827605218424,-0.0620995760866531,"Prefrontal"
"l_s302.10","l_s302","Right_IFG",-0.0379648631245034,-0.00719866915835243,0.0177700257013541,-0.038437351809718,0.0504673530219461,-0.0889047048316641,"Prefrontal"
"l_s303.10","l_s303","Right_IFG",-0.0255041829165432,0.0265635843496053,0.0115120975347827,-0.0371549068952748,0.00677603260105868,-0.0439309394963335,"Prefrontal"
"l_s304.10","l_s304","Right_IFG",0.102612866102684,0.000252697135115093,0.0776674714997732,-0.0243364779474119,0.00511316881937357,-0.0294496467667855,"Prefrontal"
"l_s305.10","l_s305","Right_IFG",0.066888042475331,0.0168410205921177,0.0298287615082975,0.0561961804068399,0.00290991632844537,0.0532862640783945,"Prefrontal"
"l_s306.10","l_s306","Right_IFG",0.0199763840804289,0.00614982487319104,0.00761267810022335,0.0841729470724072,0.00704625126253142,0.0771266958098758,"Prefrontal"
"l_s308.10","l_s308","Right_IFG",0.0438423342674531,-0.0527151430224848,-0.0138079454204432,0.022025931006467,-0.0112036149826387,0.0332295459891057,"Prefrontal"
"l_s310.10","l_s310","Right_IFG",-0.0416923398509282,-0.00527683823847426,0.0169602773171884,-0.0152215931294731,0.0139684673818818,-0.0291900605113549,"Prefrontal"
"l_s312.10","l_s312","Right_IFG",0.0654353942128292,-0.08234008023878,-0.0195039775041499,-0.03103862196139,-0.0405322597287793,0.0094936377673893,"Prefrontal"
